id,Name,PharmacyOrderableItem,DosageForm,DeaSpcl,OrderUnit,PricePerOrderUnit,BenchmarkPricePerDispenseUnit,DispenseUnit,DispenseUnitsPerOrderUnit,PricePerDispenseUnit,NcpdpDispenseUnit,VaPrintName,PackageSize,PackageType,DrugClass,Ndc,ApplicationPackage,Message,Restriction,Strength,Unit,PossibleDosages,LocalPossibleDosage,Synonym,Generic,InactiveDate,PharmacyOrderableItemID,RxCUI,NF
87387,25G 1 INCH NEEDLE 3ML SYRINGE (REF 305270),25G 1 INCH NEEDLE 3ML,SYRINGE/NDL,9S,BX,73.4,000000.88080,SYR,100,0.7340,,SYRINGE 2.5-3ML/NDL 25G 1IN SAFETY,100,BOX,"XA853 SYRINGES WITH NEEDLE,INJECTION",08290-3052-70,O,REF 305270,,,,[],"[{""LocalPossibleDosage"": ""1 SYRINGE"", ""NumericDose"": """", ""DoseUnit"": """"}]","[""08290-3052-70"", ""INTEGRA"", ""305270""]",NEEDLE/SYRINGE,,3007,,
87111,25G 1&1/2 INCH (REF 305127) NEEDLE,SYRINGE WITH NEEDLE,NEEDLE,9S,BX,2.87,000000.11570,SYR,100,0.0287,,NEEDLE 25G 1.5IN,100,BOX,"XA856 NEEDLES,INJECTION",08290-3051-27,O,,,,,[],"[{""LocalPossibleDosage"": ""1 NEEDLE"", ""NumericDose"": ""1"", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""NEEDLE(S)"", ""NumericDose"": """", ""DoseUnit"": """"}]","[""NEEDLE"", ""305127""]",NEEDLE,,2822,,
87123,5-FLUOROURACIL 1% OPH SOLN (CMPD),5-FLUOROURACIL 1%,"SOLN,OPH",6,BT,1,0.000,ML,15,0.0667,,,,,,,OX,***SDR REQUIRED***/COMPOUND ITEM,,,,[],"[{""LocalPossibleDosage"": ""1 DROP"", ""NumericDose"": ""1"", ""DoseUnit"": ""MILLILITER(S)""}]","[""5FU"", ""FLUOROURACIL""]",,,2828,,N/F
87178,ABACAVIR/DOLUTEGRAV/LAMIVUDIN 600MG/50MG/300MG TAB,ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE,TAB,6,BT,2229.3,000129.91400,TAB,30,74.3100,,ABACAV/DOLUTEGR/LAMIVUD 600/50/300MG TAB,30.0,BOTTLE,AM800 ANTIVIRALS,49702-0231-13,OUX,,,,,[],"[{""LocalPossibleDosage"": ""1 TABLET"", ""NumericDose"": ""1"", ""DoseUnit"": ""TABLET(S)""}, {""LocalPossibleDosage"": ""2 TABLETS"", ""NumericDose"": ""2"", ""DoseUnit"": ""TABLET(S)""}]","[""TRIUMEQ""]",ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE,,2854,1546888,
85933,ABACAVIR/LAMIVUDINE 600MG/300MG TAB,ABACAVIR/LAMIVUDINE 600MG/300MG,TAB,6,BT,744.68,000043.05700,TAB,30,24.8227,EACH,ABACAVIR SO4 600MG/LAMIVUDINE 300MG TAB,30,BOTTLE,AM800 ANTIVIRALS,49702-0206-13,OXU,***SDR REQUIRED***,,,,[],"[{""LocalPossibleDosage"": ""1 TABLET"", ""NumericDose"": ""1"", ""DoseUnit"": ""TABLET(S)""}, {""LocalPossibleDosage"": ""2 TABLETS"", ""NumericDose"": ""2"", ""DoseUnit"": ""TABLET(S)""}]","[""EPZICOM""]",ABACAVIR/LAMIVUDINE,,1835,602393,N/F
86620,ABATACEPT 125MG/ML SYRINGE,ABATACEPT 125MG/ML,"INJ,SOLN",6,BX,3615.94,001487.89000,ML,4,903.9850,,ABATACEPT 125MG/ML SYRINGE,1.0,SYRINGE,"MS190 ANTIRHEUMATICS,OTHER",00003-2188-11,OX,Restricted to Specialist Consult,,125,MG/ML,"[{""Dose"": ""125"", ""DispenseUnitsPerDose"": ""1""}]","[{""LocalPossibleDosage"": ""1ML (125MG)"", ""NumericDose"": ""1"", ""DoseUnit"": ""MILLILITER(S)""}]","[""ORENCIA""]",ABATACEPT,,2503,1145929,
85375,ABATACEPT 250MG INJ,ABATACEPT 250MG/VIAL,"INJ,LYPHL",6,BX,,001550.00000,VIAL,1,,EACH,ABATACEPT 250MG/VIL INJ,15 ML,VIAL,"MS190 ANTIRHEUMATICS,OTHER",00003-2187-13,IOX,Restricted to Specialist Consult,,250,MG/VIAL,"[{""Dose"": ""250"", ""DispenseUnitsPerDose"": ""1""}, {""Dose"": ""500"", ""DispenseUnitsPerDose"": ""2""}, {""Dose"": ""750"", ""DispenseUnitsPerDose"": ""3""}, {""Dose"": ""1000"", ""DispenseUnitsPerDose"": ""4""}]","[{""LocalPossibleDosage"": ""1000MG"", ""NumericDose"": ""1000"", ""DoseUnit"": ""MILLIGRAM(S)""}]","[""ORENCIA"", ""0110300032187104""]",ABATACEPT,,1830,616015,
88129,ABEMACICLIB 100MG TAB,ABEMACICLIB,TAB,,PG,2405.01,000291.60857,TAB,14,171.7864,,"ABEMACICLIB 100MG TAB,14",14,BLIST PACK,"AN900 ANTINEOPLASTIC,OTHER",00002-4815-54,OUX,SDR,,100,MG,"[{""Dose"": ""100"", ""DispenseUnitsPerDose"": ""1""}, {""Dose"": ""200"", ""DispenseUnitsPerDose"": ""2""}]",[],[],ABEMACICLIB,,3235,1946838,N/F
87737,ABEMACICLIB 150MG TAB,ABEMACICLIB,TAB,6,BX,2502.69,000291.60857,TAB,14,178.7636,,"ABEMACICLIB 150MG TAB,14",14,BLIST PACK,"AN900 ANTINEOPLASTIC,OTHER",00002-5337-54,OX,***SDR REQUIRED***,,150,MG,"[{""Dose"": ""150"", ""DispenseUnitsPerDose"": ""1""}]",[],[],ABEMACICLIB,,3235,1946842,N/F
87738,ABEMACICLIB 150MG TAB U/D,ABEMACICLIB,TAB,6,BX,2502.69,000291.60857,TAB,14,178.7636,,"ABEMACICLIB 150MG TAB,14",14,BLIST PACK,"AN900 ANTINEOPLASTIC,OTHER",00002-5337-54,U,***SDR REQUIRED***,,150,MG,"[{""Dose"": ""150"", ""DispenseUnitsPerDose"": ""1""}]",[],[],ABEMACICLIB,,3235,1946842,N/F
