id,OrderableName,DosageForm,IvFlag,InactiveDate,DayOrDoseLimit,DefaultMedRoute,ScheduleType,Schedule,Synonym,FormularyStatus,AlertMsg,PatientInstructions,AssociatedImmunization,MedRoutes
1,AMPICILLIN,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
2,AMPICILLIN/SULBACTAM,INJ,IV,"MAR 13,2005",,,,,"[""UNASYN""]",,[],,,[]
3,CEFAZOLIN,INJ,IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
4,CEFTRIAXONE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
5,CEFUROXIME,INJ,IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
6,CEFOXITIN,INJ,IV,"MAR 13,2005",,,,,"[""MEFOXIN""]",,[],,,[]
7,GENTAMICIN,"INJ,SOLN",IV,"FEB 11,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
8,PENICILLIN G,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
9,TICARCILLIN/CLAVULANIC ACID,INJ,IV,"MAR 13,2005",,,,,"[""TIMENTIN""]",,[],,,[]
10,VANCOMYCIN,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
11,AMPHOTERICIN,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
12,CEFTAZADIME,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
13,MAGNESIUM SULFATE,"INJ,SOLN",IV,"FEB 17,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
14,POTASSIUM CHLORIDE,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""KCL""]",,[],,,[]
15,SODIUM BICARBONATE,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""BICARB""]",,[],,,[]
16,INSULIN,INJ,IV,"MAR 13,2005",,,,,"[""REGI""]",,"[""HIGH RISK HIGH ALERT""]",FDM,,[]
17,METRONIDAZOLE,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""FLAGYL""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
18,ACYCLOVIR,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
19,AMINOPHYLLINE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
20,HEPARIN,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
21,CEFOTAXIME,INJ,IV,"MAR 13,2005",,,,,"[""CLAFORAN""]",,[],,,[]
22,CHLORAMPHENICOL,"INJ,SOLN",IV,"FEB 11,2005",,,,,[],,[],,,[]
23,CLINDAMYCIN,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""CLEOCIN""]",,[],,,[]
24,DOXYCYCLINE,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
25,ERYTHROMYCIN,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
26,LIDOCAINE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
27,METOCLOPRAMIDE,INJ,IV,"MAR 13,2005",,,,,"[""REGLAN""]",,[],,,[]
28,NAFCILLIN,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
29,NITROGLYCERIN,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
30,MIDAZOLAM INJECTION,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""VERSED""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
31,DOPAMINE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
32,SODIUM CHLORIDE 14.6%,"INJ,CONC-SOLN",IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
33,BUPIVICAINE 0.75% PF,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""EPIDURAL""]",,[],,,[]
34,FENTANYL,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
35,IMIPENEM/CILASTIN (PRIMAXIN),"INJ,PWDR",IV,"FEB 18,2005",,,,,"[""PRIMAXIN""]",,[],,,[]
36,POTASSIUM PHOSPHATE,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""KPHOS""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
37,CALCIUM GLUCONATE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
38,"MULTIVITAMIN, INJ",INJ,IV,"MAR 13,2005",,,,,"[""MVI""]",,[],,,[]
39,TRACE METALS,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
40,IVIG 5% INJECTION,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
41,FOLIC ACID,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
